username,password,created_at,updated_at,account_type,task_completion
Admin,$2a$10$DW2p6Bu/na2p6hTkNELYzeBV2brkw/qc7aPW21QOXFU5FbtIGhg9i,NOW(),NOW(),admin,
Ronson,$2a$10$Jr/SxvDxtUbxJ2x/tugoO.Ih3CTDgfpnViDFcaoMevlRBdky8JSui,NOW(),NOW(),admin,
Tszlong,$2a$10$my1n.PDiiXSdRoC3MNHKwO1SwT35RlIgwZkD0mu.WTS.hoPlpBXcm,NOW(),NOW(),admin,
Pax,$2a$10$KwbPQ8l/O4ZvbjPGyTmfC.iCLXaZioY98YgDb/2aEwLoxHVTqM1xe,NOW(),NOW(),admin,
Client,$2a$10$zHLWLdVGGETgEVKAyTV1vuVeEvbQacHD3SyMdbA9D.7ySYTwWzOE6,NOW(),NOW(),client,
Popo,$2a$10$QoSZwiHCDdi5Kz.rDLmwNerg5f9dO.VdBQdcOos6mu3qkUQeGzPWK,NOW(),NOW(),client,
Hkers,$2a$10$FBwAlYb1Qb2vvfMoq4Vd2eV0AFuVOgl8Rf/PPnfXH5fquCiEzHGhC,NOW(),NOW(),client,
Exhusband,$2a$10$7/fbeJk6vkExcUi9F0hFp.ORz1SXjsfShBYGxaDvvpb8FcukIl65a,NOW(),NOW(),client,
Jdfans,$2a$10$RGJaUNbJu/z9HQJIDA3Vj.63VZ223p.uDV8IlxIw74Y.XmqpdlSam,NOW(),NOW(),client,
CCP,$2a$10$De3g5pJ6EWaWxTOTSCUDBeue3ga8mBoTWCDJtqYHcwr.cGLfPf8LW,NOW(),NOW(),client,
Scream,$2a$10$DdhAlThv/mfzxGOTYyCSV.1wWu.p.gdtPjdaiJZp2p/Hrxb2.C.XC,NOW(),NOW(),killer,268
Joker,$2a$10$1datiX9Gyf0K99EXVaH8queIXiJO3ExFy.WApJTi3Qvw7l4gNrKcq,NOW(),NOW(),killer,380
John_Wick,$2a$10$rK.hSR2ZEOgfOEdHzRB.R.ea11HTXfgExSQvC1nBdrP4MiskDlI5a,NOW(),NOW(),killer,99
Matrix_Neo,$2a$10$ecyJPeoAlkc71B93i.Pq0uT4Mb2BgpMn3OgKdqNe4CYYBlypHXTDa,NOW(),NOW(),killer,999
Whiteshirtguy,$2a$10$2VMFCIXhwa0I6YJbQplpB./nDA9LhY8lq3xqPU4Oto0xN86vracie,NOW(),NOW(),killer,721
Tiger,$2a$10$WUNgXRSuUhnPdB/9cS0sROxwJLqcr6/XQTRCEe2CK58o8zHUuhQ3K,NOW(),NOW(),killer,1
Southpark,$2a$10$5M4GbrrjlsHrwLh4eWGLQuAp4WQqBbH6Kryyzr8lQUO12YwqXTT.u,NOW(),NOW(),killer,38
Darkpooh,$2a$10$Q6ZcmL2umlj8.vhTGzC4aeL/V3T.KDpVwO44zzgk.XO.FX0hjxhwW,NOW(),NOW(),killer,20
